0,0
00:45:26,0.0504380750001 Image_Scale: 3 Haar_Scale: 2
00:45:27,0.586644299 Image_Scale: 1 Haar_Scale: 2
00:45:27,0.142083408 Image_Scale: 2 Haar_Scale: 2
00:45:27,0.05096495 Image_Scale: 3 Haar_Scale: 2
00:45:28,0.596195041 Image_Scale: 1 Haar_Scale: 2
00:45:28,0.145254658 Image_Scale: 2 Haar_Scale: 2
00:45:28,0.0523776169998 Image_Scale: 3 Haar_Scale: 2
00:45:29,0.58973057 Image_Scale: 1 Haar_Scale: 2
00:45:29,0.147258183 Image_Scale: 2 Haar_Scale: 2
00:45:29,0.0492183630001 Image_Scale: 3 Haar_Scale: 2
00:45:30,0.588564845 Image_Scale: 1 Haar_Scale: 2
00:45:30,0.145143683 Image_Scale: 2 Haar_Scale: 2
00:45:30,0.0569735300001 Image_Scale: 3 Haar_Scale: 2
00:45:31,0.656536774 Image_Scale: 1 Haar_Scale: 2
00:45:31,0.145113691 Image_Scale: 2 Haar_Scale: 2
00:45:31,0.0493963209999 Image_Scale: 3 Haar_Scale: 2
00:45:32,0.593300725 Image_Scale: 1 Haar_Scale: 2
00:45:32,0.143579053 Image_Scale: 2 Haar_Scale: 2
00:45:32,0.0490504029999 Image_Scale: 3 Haar_Scale: 2
00:45:32,0.589552611 Image_Scale: 1 Haar_Scale: 2
00:45:33,0.147355161 Image_Scale: 2 Haar_Scale: 2
00:45:33,0.0510499310001 Image_Scale: 3 Haar_Scale: 2
00:45:33,0.591701103 Image_Scale: 1 Haar_Scale: 2
00:45:33,0.146562349 Image_Scale: 2 Haar_Scale: 2
00:45:33,0.053509348 Image_Scale: 3 Haar_Scale: 2
00:45:34,0.598217563 Image_Scale: 1 Haar_Scale: 2
00:45:34,0.14270426 Image_Scale: 2 Haar_Scale: 2
00:45:34,0.049337335 Image_Scale: 3 Haar_Scale: 2
00:45:35,0.682342673 Image_Scale: 1 Haar_Scale: 2
00:45:35,0.147682084 Image_Scale: 2 Haar_Scale: 2
00:45:35,0.0529464819999 Image_Scale: 3 Haar_Scale: 2
00:45:36,0.609385922 Image_Scale: 1 Haar_Scale: 2
00:45:36,0.147022239 Image_Scale: 2 Haar_Scale: 2
00:45:36,0.0523546220002 Image_Scale: 3 Haar_Scale: 2
00:45:37,0.601095882 Image_Scale: 1 Haar_Scale: 2
00:45:37,0.141832466 Image_Scale: 2 Haar_Scale: 2
00:45:37,0.048565518 Image_Scale: 3 Haar_Scale: 2
00:45:38,0.590255445 Image_Scale: 1 Haar_Scale: 2
00:45:38,0.148014005 Image_Scale: 2 Haar_Scale: 2
00:45:38,0.0523776169998 Image_Scale: 3 Haar_Scale: 2
00:45:39,0.595641172 Image_Scale: 1 Haar_Scale: 2
00:45:39,0.145485603 Image_Scale: 2 Haar_Scale: 2
00:45:39,0.0505520479999 Image_Scale: 3 Haar_Scale: 2
00:45:39,0.589239686 Image_Scale: 1 Haar_Scale: 2
00:45:40,0.149353688 Image_Scale: 2 Haar_Scale: 2
00:45:40,0.0524376020001 Image_Scale: 3 Haar_Scale: 2
